Version 1
,Date Time,Name,Value
,20/Apr/2023 08:37:19,VESSEL_BATCH,224501697
,20/Apr/2023 08:59:35,VOLUME,8.035
,20/Apr/2023 11:26:47,VOLUME,8.060
,20/Apr/2023 12:48:16,O2,89.58
,20/Apr/2023 12:48:16,O2_DATE,Thu 20 Apr 2023 12:48:16
,20/Apr/2023 12:48:17,COUNT,1
,20/Apr/2023 12:48:17,PH,7.73
,20/Apr/2023 12:48:17,PH_DATE,Thu 20 Apr 2023 12:48:17
,20/Apr/2023 12:49:45,O2,89.50
,20/Apr/2023 12:49:45,O2_DATE,Thu 20 Apr 2023 12:49:45
,20/Apr/2023 12:49:46,COUNT,2
,20/Apr/2023 12:49:46,PH,7.73
,20/Apr/2023 12:49:46,PH_DATE,Thu 20 Apr 2023 12:49:46
,20/Apr/2023 12:51:16,O2,89.58
,20/Apr/2023 12:51:16,O2_DATE,Thu 20 Apr 2023 12:51:16
,20/Apr/2023 12:51:17,COUNT,3
,20/Apr/2023 12:51:17,PH,7.73
,20/Apr/2023 12:51:17,PH_DATE,Thu 20 Apr 2023 12:51:17
,20/Apr/2023 12:52:46,O2,89.58
,20/Apr/2023 12:52:46,O2_DATE,Thu 20 Apr 2023 12:52:46
,20/Apr/2023 12:52:47,COUNT,4
,20/Apr/2023 12:52:47,PH,7.73
,20/Apr/2023 12:52:47,PH_DATE,Thu 20 Apr 2023 12:52:47
,20/Apr/2023 12:54:17,O2,89.41
,20/Apr/2023 12:54:17,O2_DATE,Thu 20 Apr 2023 12:54:17
,20/Apr/2023 12:54:18,COUNT,5
,20/Apr/2023 12:54:18,PH,7.73
,20/Apr/2023 12:54:18,PH_DATE,Thu 20 Apr 2023 12:54:18
,20/Apr/2023 12:55:47,O2,89.23
,20/Apr/2023 12:55:47,O2_DATE,Thu 20 Apr 2023 12:55:47
,20/Apr/2023 12:55:48,COUNT,6
,20/Apr/2023 12:55:48,PH,7.72
,20/Apr/2023 12:55:48,PH_DATE,Thu 20 Apr 2023 12:55:48
,20/Apr/2023 12:57:18,O2,88.89
,20/Apr/2023 12:57:18,O2_DATE,Thu 20 Apr 2023 12:57:18
,20/Apr/2023 12:57:19,COUNT,7
,20/Apr/2023 12:57:19,PH,7.72
,20/Apr/2023 12:57:19,PH_DATE,Thu 20 Apr 2023 12:57:19
,20/Apr/2023 12:58:48,O2,88.54
,20/Apr/2023 12:58:48,O2_DATE,Thu 20 Apr 2023 12:58:48
,20/Apr/2023 12:58:49,COUNT,8
,20/Apr/2023 12:58:49,PH,7.71
,20/Apr/2023 12:58:49,PH_DATE,Thu 20 Apr 2023 12:58:49
,20/Apr/2023 13:00:19,O2,87.94
,20/Apr/2023 13:00:19,O2_DATE,Thu 20 Apr 2023 13:00:19
,20/Apr/2023 13:00:20,COUNT,9
,20/Apr/2023 13:00:20,PH,7.71
,20/Apr/2023 13:00:20,PH_DATE,Thu 20 Apr 2023 13:00:20
,20/Apr/2023 13:01:49,O2,87.34
,20/Apr/2023 13:01:49,O2_DATE,Thu 20 Apr 2023 13:01:49
,20/Apr/2023 13:01:50,COUNT,10
,20/Apr/2023 13:01:50,PH,7.70
,20/Apr/2023 13:01:50,PH_DATE,Thu 20 Apr 2023 13:01:50
,20/Apr/2023 13:03:19,O2,86.75
,20/Apr/2023 13:03:19,O2_DATE,Thu 20 Apr 2023 13:03:19
,20/Apr/2023 13:03:20,COUNT,11
,20/Apr/2023 13:03:20,PH,7.70
,20/Apr/2023 13:03:20,PH_DATE,Thu 20 Apr 2023 13:03:20
,20/Apr/2023 13:04:50,O2,86.08
,20/Apr/2023 13:04:50,O2_DATE,Thu 20 Apr 2023 13:04:50
,20/Apr/2023 13:04:50,COUNT,12
,20/Apr/2023 13:04:50,PH,7.69
